Security Code,Security Id,Security Name,Status,Group
500433,UTIGN,UTIGN,Delisted,Z 
500434,MSTGN,MSTGN,Delisted,Z 
500435,UMISPST,Umi Special Steel Ltd,Delisted,Z 
500436,UTI2000-B,Unit Growth Scheme 2000,Delisted,Z 
500437,UTI5000-B,Unit Growth Scheme 5000,Delisted,Z 
500438,VAJRABE,Vajra Bearings Ltd,Delisted,X 
500439,VHL,Vardhman Holdings Ltd,Active,B 
500440,HINDALCO,Hindalco Industries Ltd,Active,A 
500442,VIRALFL-BDM,Viral Filaments Ltd,Delisted,Z 
500443,WARTSILA,Wartsila India Ltd,Delisted,B 
500444,WSTCSTPAPR,West Coast Paper Mills Ltd,Active,B 
500445,INDAL,Indian Aluminium Company Ltd,Delisted,B 
500446,CAROL,Carol Info Services Ltd,Delisted,B 
500447,YOGIPHA,Yogi Pharmacy Ltd,Delisted,Z 
500448,HINDC,Hindusthan Development Corporation Ltd,Delisted,Z 
500449,HOCL,Hindustan Organic Chemicals Ltd,Active,B 
500450,MPILCORPL,MPIL Corporation Ltd,Active,X 
500451,MDRNSUT-B,Modern Denim Ltd,Suspended,XT
500452,NEPCAGRO,NEPC Agro Foods Ltd,Delisted,XD
500455,PAAMPHR-B,Paam Pharmaceuticals Ltd,Delisted,Z 
500456,PASUPTAC,Pasupati Acrylon Ltd,Active,B 
500457,PNTASOL-B,Pentafour Solec Technology Ltd,Delisted,P 
500458,TEAM24,Team24 Consumer Products Ltd,Active,X 
500459,PGHH,Procter & Gamble Hygiene and Health Care Ltd,Active,A 
500460,MUKANDLTD,Mukand Ltd,Active,B 
500462,SIV,SIV Industries Ltd,Delisted,B 
500463,BBOX,Black Box Ltd,Active,A 
500464,UCAL,Ucal  Ltd,Active,B 
500465,VARUNSHIP,Varun Shipping Company Ltd,Suspended,Z 
500466,STERHFN,Sterling Holiday Financial Services Ltd,Delisted,P 
500467,HARRMALAYA,Harrisons Malayalam Ltd,Active,B 
500468,WESTPAQ-B,Western Paques India Ltd,Delisted,Z 
500469,FEDERALBNK,Federal Bank Ltd,Active,A 
500470,TATASTEEL,Tata Steel Ltd,Active,A 
500472,SKFINDIA,SKF India Ltd,Active,A 
500477,ASHOKLEY,Ashok Leyland Ltd,Active,A 
500480,CUMMINSIND,Cummins India Ltd,Active,A 
500483,TATACOMM,Tata Communications Ltd,Active,A 
500488,ABBOTINDIA,Abbott India Ltd,Active,A 
500490,BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Active,A 
500493,BHARATFORG,Bharat Forge Ltd,Active,A 
500495,ESCORTS,Escorts Kubota Ltd,Active,A 
500500,HINDMOTORS,Hindustan Motors Ltd,Active,B 
500510,LT,Larsen & Toubro Ltd,Active,A 
500520,M&M,Mahindra & Mahindra Ltd,Active,A 
500530,BOSCHLTD,Bosch Ltd,Active,A 
